,AAPL,AMZN,GOOGL,MSFT
2021-09-01,150.19106354688125,174.10824640877982,145.17779883824852,294.70337102429374
2021-09-02,151.19855788340416,173.29224047014293,143.5943033696105,293.93567683271544
2021-09-03,152.05726224616302,173.9889104244298,143.49199954821015,293.59777179694726
2021-09-07,153.85779411382336,175.63515662958326,144.27272643175408,292.9341249487517
2021-09-08,153.159191961327,176.38558371623336,143.63250758063316,293.03607467986484
2021-09-09,151.56323105241225,174.45274437703242,143.6375841150768,289.8622942998497
2021-09-10,147.06279995522345,173.41932700550328,141.05307207451787,289.01386064019056
2021-09-13,147.06717289367168,172.96541073571626,141.80383530791516,289.153403373611
2021-09-14,145.6651238058221,172.62371368501363,142.12224907944923,291.92936895596745
2021-09-15,146.64606632134604,173.82902112424028,143.83755769704,296.1591049681134
2021-09-16,146.05509335022347,174.51690981142076,143.6677753914149,297.7164184031085
2021-09-17,144.1236968774301,173.10750514330476,141.12326737636172,293.01571818054407
2021-09-20,140.40404972177504,167.93845425789084,138.67317896496746,288.03309158023023
2021-09-21,141.2333909939704,166.91055940668028,138.2434202827257,287.4277446607475
2021-09-22,142.8579713620686,169.01514766487884,139.11030710987146,289.9454940149214
2021-09-23,144.43984769142017,170.8784108143968,140.30566527359508,291.92417265616075
2021-09-24,144.2707325205015,171.2931041703167,141.64935404797293,291.66150643242497
2021-09-27,143.1930740125112,170.19486200929703,141.26192681567,287.3333042612972
2021-09-28,139.57202671689888,165.7666643040982,136.49001817183995,277.85439574403154
2021-09-29,140.28536150531997,164.92517300413422,133.87330875880585,276.70947203364705
2021-09-30,139.01695627252244,164.0448559136178,132.43978456964913,274.42064890727363
2021-10-01,140.05283644051028,163.95031784496192,134.30604421570507,280.192320219534
2021-10-04,136.79881547538824,159.506714624103,132.63549113984365,276.332243748324
2021-10-05,138.72869289375282,160.60799868311295,134.7042845624186,280.92512476944756
2021-10-06,139.05340316651407,163.02729345249043,137.27003791089092,283.54273073458074
2021-10-07,141.02737293730115,165.0280326590681,139.63931035135707,287.9573711608562
2021-10-08,140.0313256286311,164.3814750488729,140.4546467831519,286.0345426567771
2021-10-11,140.80597478237428,162.09794261426208,139.68135801380586,287.92386626932773
2021-10-12,138.63962556983913,162.17835599851762,136.29415285488392,284.33559626758193
2021-10-13,138.88595978252175,164.21541944704956,136.43566277785578,289.2187632618294
2021-10-14,140.67914013670895,164.93104111351423,138.94423496669373,293.0703570165254
2021-10-15,142.58107845356662,170.40936597749572,140.5406235623489,296.5441488934313
2021-10-18,143.69366902220935,172.50301705097138,142.33635867434444,299.0514479885529
2021-10-19,146.36782350197424,172.31521329151076,144.08882674346796,300.23491447588594
2021-10-20,146.66331227355312,170.85187279217848,143.08998108262406,300.0827544508318
2021-10-21,147.03615573054321,171.52965413241847,142.43115183356372,302.0603766661262
2021-10-22,146.2737420683038,167.06695944604823,138.00176631657712,302.23762482731337
2021-10-25,146.28336097537465,165.83269812083694,135.83008020459013,299.9282785916961
2021-10-26,146.6364415640976,168.68085192252562,137.4084616179192,302.9997054116245
2021-10-27,146.59311739442956,169.82378481536188,143.5961170855275,312.4858597737025
2021-10-28,149.64253301912197,172.27725580172603,146.28419585724657,316.1596697070899
2021-10-29,147.6008468624431,168.75707344262153,149.09532125371297,322.94978023321767
2021-11-01,146.61434159212897,165.63349116061548,146.3310071961986,321.5381701971758
2021-11-02,147.38659720098443,165.80679191232122,146.6038920778689,325.2752180487642
2021-11-03,149.0328659314936,169.0689038356575,146.51342727370275,325.0608364412349
2021-11-04,148.22334682190305,173.99787754309,147.42207344448445,329.56958258624985
2021-11-05,149.28964803866648,176.21518180473316,147.05878933375683,326.53011905941383
2021-11-08,148.0658960501664,174.63940682636772,148.49966134596397,330.6202220791221
2021-11-09,148.57340367137246,178.81199495985464,148.23186771225645,326.7313755667282
2021-11-10,145.67670072474252,174.41780149754683,147.30919243918612,324.8523825576962
2021-11-11,145.89259117375082,173.7695688641713,146.10266905065603,323.65259509765855
2021-11-12,147.19919064500468,176.26562587617167,149.04192210497132,328.3579460684415
2021-11-15,147.95177756553755,177.47627929926165,148.50207408998168,327.7278233948822
2021-11-16,148.43826782030152,177.41483005169226,147.61129543543694,331.05787557565236
2021-11-17,151.38818350019733,177.65754705270876,147.6231960189169,331.91687435486494
2021-11-18,155.08586608288726,184.78735369446852,148.69766350150567,332.8205105607033
2021-11-19,158.1920420886157,184.4993193780924,149.0940188990139,335.8216283545426
2021-11-22,158.81509200356714,178.90566602646953,146.18239364419503,332.491725777414
2021-11-23,159.30338390341066,178.9194129372188,146.0914940539341,330.7980117575066
2021-11-24,159.50204987350114,179.14842930755694,145.37791471861388,330.02828064385943
2021-11-26,155.08869890846705,175.71471115724688,142.38753111011988,323.85513218469447
2021-11-29,157.8194012053782,177.9080314363159,143.8259651877534,327.6423973355564
2021-11-30,162.52432066881866,175.36864629155104,141.50874112788688,323.73428091177243
2021-12-01,162.64096507939257,172.43386766604937,140.1962596151546,323.0389526738183
2021-12-02,161.44450751896596,171.74558537649486,141.65359530717006,321.07092098198524
2021-12-03,160.23148726411534,169.40796435452157,142.00340832591064,317.50514755946114
2021-12-06,162.59592060372302,171.4058247940713,142.3690784922379,317.0150452806374
2021-12-07,168.48116039510032,176.3067264267301,147.35190261800358,326.70927827302273
2021-12-08,172.66609161451612,176.19469306117065,148.05242990033813,325.75195602182214
2021-12-09,172.61159177608053,174.25603158574938,148.65810912965972,326.9027196291781
2021-12-10,176.91494370692146,172.20545192961927,147.8013233806117,332.72022133879847
2021-12-13,173.7808261415157,169.47180646052445,145.98857139531808,331.49802212480205
2021-12-14,172.5118330611949,169.12853945359225,143.18031657635603,323.0549492570681
2021-12-15,176.28845649737264,173.06566524951285,144.65769997106747,325.8411665030234
2021-12-16,170.91561192355968,169.16339073407053,143.79473873846197,318.3669179061326
2021-12-17,168.5584347289691,169.64837611709163,140.91570618815012,316.0143439319065
2021-12-20,167.90876929864555,167.2167514102418,141.42862105905678,313.58620059341376
2021-12-21,170.42640529894538,170.1470383880374,142.57278254021952,317.8411061849194
2021-12-22,172.71372499690838,171.20813466633055,146.36409425402874,323.3568873152284
2021-12-23,174.5398693651519,170.98474345495666,146.93407763313962,328.10585384909353
2021-12-27,177.40932437742694,169.60121341888106,148.30195557594195,331.69058810951765
2021-12-28,177.37140611936505,170.65916499414197,146.9957034391127,334.34474838111754
2021-12-29,176.86692117231308,169.08249456116002,146.32122727265337,333.46746663231977
2021-12-30,176.17008648545792,168.6485564108382,145.662728269957,332.27826591607555
2021-12-31,175.39047768894483,166.6069800308363,143.8582198542002,328.4866443559068
2022-01-03,179.09212869816164,170.18529974775134,144.13724879931178,327.2181478651191
2022-01-04,177.58366356297128,167.6235835091427,143.32271795533836,322.0684779468116
2022-01-05,172.91322231623187,164.105645745768,138.16172392734276,310.0723700340539
2022-01-06,169.83252869002868,163.056003214057,136.48143827650887,307.4339887975782
2022-01-07,169.7723834592767,162.24874187363804,136.10355333466458,305.1598094094962
2022-01-10,169.51047736686775,161.5185326049091,137.08915250083706,306.6235776756284
2022-01-11,172.55394893158442,165.0072374064063,138.67225689118644,306.49674693449407
2022-01-12,172.9173163413609,165.03566974973242,140.85844026403666,309.99876078049317
2022-01-13,170.16976948478694,161.27960311373815,138.7916782779991,298.31154158056864
2022-01-14,170.29500004265176,161.60736933586404,139.4695007744758,302.3886135246466
